call_number,domain,quality,n_shots,case_index,test_input,score,score_pct
400,Text Summarization,High,10,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",1.0,100.0%
401,Text Summarization,Medium,1,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8333,83.3%
402,Text Summarization,Medium,1,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.6875,68.8%
403,Text Summarization,Medium,1,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.7917,79.2%
404,Text Summarization,Medium,1,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
405,Text Summarization,Medium,1,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
406,Text Summarization,Medium,1,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.75,75.0%
407,Text Summarization,Medium,1,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
408,Text Summarization,Medium,1,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",0.875,87.5%
409,Text Summarization,Medium,1,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.4583,45.8%
410,Text Summarization,Medium,1,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
411,Text Summarization,Medium,3,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.9333,93.3%
412,Text Summarization,Medium,3,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.7708,77.1%
413,Text Summarization,Medium,3,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.7917,79.2%
414,Text Summarization,Medium,3,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",0.9,90.0%
415,Text Summarization,Medium,3,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.5417,54.2%
416,Text Summarization,Medium,3,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.75,75.0%
417,Text Summarization,Medium,3,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
418,Text Summarization,Medium,3,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
419,Text Summarization,Medium,3,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.4583,45.8%
420,Text Summarization,Medium,3,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
421,Text Summarization,Medium,5,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.7,70.0%
422,Text Summarization,Medium,5,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.7708,77.1%
423,Text Summarization,Medium,5,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.7917,79.2%
424,Text Summarization,Medium,5,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",0.9,90.0%
425,Text Summarization,Medium,5,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
426,Text Summarization,Medium,5,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.75,75.0%
427,Text Summarization,Medium,5,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
428,Text Summarization,Medium,5,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",0.875,87.5%
429,Text Summarization,Medium,5,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.4583,45.8%
430,Text Summarization,Medium,5,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
431,Text Summarization,Medium,10,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.7,70.0%
432,Text Summarization,Medium,10,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.7708,77.1%
433,Text Summarization,Medium,10,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.7917,79.2%
434,Text Summarization,Medium,10,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",0.9,90.0%
435,Text Summarization,Medium,10,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
436,Text Summarization,Medium,10,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.75,75.0%
437,Text Summarization,Medium,10,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
438,Text Summarization,Medium,10,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",0.875,87.5%
439,Text Summarization,Medium,10,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.4583,45.8%
440,Text Summarization,Medium,10,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
441,Text Summarization,Low,1,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8333,83.3%
442,Text Summarization,Low,1,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.6042,60.4%
443,Text Summarization,Low,1,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
444,Text Summarization,Low,1,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",0.9,90.0%
445,Text Summarization,Low,1,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
446,Text Summarization,Low,1,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.875,87.5%
447,Text Summarization,Low,1,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
448,Text Summarization,Low,1,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",0.875,87.5%
449,Text Summarization,Low,1,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.875,87.5%
450,Text Summarization,Low,1,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
451,Text Summarization,Low,3,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.9333,93.3%
452,Text Summarization,Low,3,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.3542,35.4%
453,Text Summarization,Low,3,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
454,Text Summarization,Low,3,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
455,Text Summarization,Low,3,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
456,Text Summarization,Low,3,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.875,87.5%
457,Text Summarization,Low,3,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
458,Text Summarization,Low,3,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
459,Text Summarization,Low,3,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.9167,91.7%
460,Text Summarization,Low,3,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
461,Text Summarization,Low,5,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.9333,93.3%
462,Text Summarization,Low,5,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.4167,41.7%
463,Text Summarization,Low,5,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
464,Text Summarization,Low,5,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
465,Text Summarization,Low,5,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
466,Text Summarization,Low,5,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.875,87.5%
467,Text Summarization,Low,5,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
468,Text Summarization,Low,5,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
469,Text Summarization,Low,5,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.9167,91.7%
470,Text Summarization,Low,5,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",1.0,100.0%
471,Text Summarization,Low,10,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8333,83.3%
472,Text Summarization,Low,10,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.4167,41.7%
473,Text Summarization,Low,10,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
474,Text Summarization,Low,10,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",0.7,70.0%
475,Text Summarization,Low,10,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.8333,83.3%
476,Text Summarization,Low,10,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",0.875,87.5%
477,Text Summarization,Low,10,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
478,Text Summarization,Low,10,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",0.875,87.5%
479,Text Summarization,Low,10,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,0.5833,58.3%
480,Text Summarization,Low,10,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",0.75,75.0%
481,SQL Generation,High,1,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
482,SQL Generation,High,1,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
483,SQL Generation,High,1,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
484,SQL Generation,High,1,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
485,SQL Generation,High,1,4,Find all customers who have not placed any orders. Use customers and orders tables.,1.0,100.0%
486,SQL Generation,High,1,5,Calculate the average salary per department from the employees table.,1.0,100.0%
487,SQL Generation,High,1,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
488,SQL Generation,High,1,7,Count the number of products in each category from the products table.,1.0,100.0%
489,SQL Generation,High,1,8,Find the most recent order date from the orders table.,1.0,100.0%
490,SQL Generation,High,1,9,List employees who earn more than the average salary of their department.,0.75,75.0%
491,SQL Generation,High,3,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
492,SQL Generation,High,3,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
493,SQL Generation,High,3,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
494,SQL Generation,High,3,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
495,SQL Generation,High,3,4,Find all customers who have not placed any orders. Use customers and orders tables.,1.0,100.0%
496,SQL Generation,High,3,5,Calculate the average salary per department from the employees table.,1.0,100.0%
497,SQL Generation,High,3,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
498,SQL Generation,High,3,7,Count the number of products in each category from the products table.,1.0,100.0%
499,SQL Generation,High,3,8,Find the most recent order date from the orders table.,1.0,100.0%
500,SQL Generation,High,3,9,List employees who earn more than the average salary of their department.,0.75,75.0%
501,SQL Generation,High,5,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
502,SQL Generation,High,5,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
503,SQL Generation,High,5,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
504,SQL Generation,High,5,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
505,SQL Generation,High,5,4,Find all customers who have not placed any orders. Use customers and orders tables.,1.0,100.0%
506,SQL Generation,High,5,5,Calculate the average salary per department from the employees table.,1.0,100.0%
507,SQL Generation,High,5,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
508,SQL Generation,High,5,7,Count the number of products in each category from the products table.,1.0,100.0%
509,SQL Generation,High,5,8,Find the most recent order date from the orders table.,1.0,100.0%
510,SQL Generation,High,5,9,List employees who earn more than the average salary of their department.,0.75,75.0%
511,SQL Generation,High,10,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
512,SQL Generation,High,10,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
513,SQL Generation,High,10,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
514,SQL Generation,High,10,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
515,SQL Generation,High,10,4,Find all customers who have not placed any orders. Use customers and orders tables.,1.0,100.0%
516,SQL Generation,High,10,5,Calculate the average salary per department from the employees table.,1.0,100.0%
517,SQL Generation,High,10,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
518,SQL Generation,High,10,7,Count the number of products in each category from the products table.,1.0,100.0%
519,SQL Generation,High,10,8,Find the most recent order date from the orders table.,1.0,100.0%
520,SQL Generation,High,10,9,List employees who earn more than the average salary of their department.,0.75,75.0%
521,SQL Generation,Medium,1,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
522,SQL Generation,Medium,1,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
523,SQL Generation,Medium,1,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
524,SQL Generation,Medium,1,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
525,SQL Generation,Medium,1,4,Find all customers who have not placed any orders. Use customers and orders tables.,0.5,50.0%
526,SQL Generation,Medium,1,5,Calculate the average salary per department from the employees table.,1.0,100.0%
527,SQL Generation,Medium,1,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
528,SQL Generation,Medium,1,7,Count the number of products in each category from the products table.,1.0,100.0%
529,SQL Generation,Medium,1,8,Find the most recent order date from the orders table.,1.0,100.0%
530,SQL Generation,Medium,1,9,List employees who earn more than the average salary of their department.,0.75,75.0%
531,SQL Generation,Medium,3,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
532,SQL Generation,Medium,3,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
533,SQL Generation,Medium,3,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
534,SQL Generation,Medium,3,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
535,SQL Generation,Medium,3,4,Find all customers who have not placed any orders. Use customers and orders tables.,0.5,50.0%
536,SQL Generation,Medium,3,5,Calculate the average salary per department from the employees table.,1.0,100.0%
537,SQL Generation,Medium,3,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
538,SQL Generation,Medium,3,7,Count the number of products in each category from the products table.,1.0,100.0%
539,SQL Generation,Medium,3,8,Find the most recent order date from the orders table.,1.0,100.0%
540,SQL Generation,Medium,3,9,List employees who earn more than the average salary of their department.,0.75,75.0%
541,SQL Generation,Medium,5,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
542,SQL Generation,Medium,5,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
543,SQL Generation,Medium,5,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
544,SQL Generation,Medium,5,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
545,SQL Generation,Medium,5,4,Find all customers who have not placed any orders. Use customers and orders tables.,0.5,50.0%
546,SQL Generation,Medium,5,5,Calculate the average salary per department from the employees table.,1.0,100.0%
547,SQL Generation,Medium,5,6,"Get the names and emails of customers who signed up after January 1, 2024.",1.0,100.0%
548,SQL Generation,Medium,5,7,Count the number of products in each category from the products table.,1.0,100.0%
549,SQL Generation,Medium,5,8,Find the most recent order date from the orders table.,1.0,100.0%
550,SQL Generation,Medium,5,9,List employees who earn more than the average salary of their department.,0.75,75.0%
551,SQL Generation,Medium,10,0,Get the names of all employees in the 'Sales' department from the employees table.,1.0,100.0%
552,SQL Generation,Medium,10,1,Find the total number of orders placed by each customer from the orders table.,1.0,100.0%
553,SQL Generation,Medium,10,2,List all products whose price is greater than 100 from the products table.,1.0,100.0%
554,SQL Generation,Medium,10,3,Get the top 5 highest-paid employees from the employees table.,1.0,100.0%
555,SQL Generation,Medium,10,4,Find all customers who have not placed any orders. Use customers and orders tables.,0.5,50.0%
556,SQL Generation,Medium,10,5,Calculate the average salary per department from the employees table.,1.0,100.0%
